WARNING: FOLDS 5-10 (INC.) ONLY HAVE 35 TRUE PREDICTIONS - IGNORE PREDICTION 36 
33.30463028176965, 3.255761210736002, 0.5722269115124794, 
WARNING: FOLDS 5-10 (INC.) ONLY HAVE 35 TRUE PREDICTIONS - IGNORE PREDICTION 36 
28.787270812878837, 3.1674300580113806, 0.778051521555527
13.35788850323097, 2.4406730865025583, 0.8295605784308707
12.650524493771263, 2.8071515868118078, 0.8520753982876238
18.138059455988582, 3.05813511182493, 0.7610478729669516
29.655294479878876, 2.9419323031843114, 0.6635689645312017
19.678228897433854, 3.5396901092240816, 0.786403499092953
19.534544856899526, 2.7153009796963925, 0.8097913646552148
12.430010055408083, 2.8280363745105803, 0.8231105300787087
11.205877846027793, 2.3050133056769297, 0.7975824026607189
10.187758471980109, 2.3588720650105888, 0.8673946204291734
WARNING: FOLDS 5-10 (INC.) ONLY HAVE 35 TRUE PREDICTIONS - IGNORE PREDICTION 36 
11.8771054672631, 2.4688879683234983, 0.8379885354783999
19.4547854605844, 2.9358192462629984, 0.8235206364318673
50.83964258435588, 4.169213935309449, 0.6381035751658626
24.085801284456917, 3.892992002808384, 0.8095001981902044
5.484315886663994, 1.7937288323434848, 0.9018654559371143
8.744605390325736, 2.4507797204299075, 0.7671975008584581
19.607822138559715, 3.1770778563017634, 0.806126930473134
9.67116431614391, 2.3911716877504747, 0.8400343678990563
24.01534852028613, 3.0113467530909737, 0.7297033402075535
9.538799427167614, 2.164287632051777, 0.8539146000985611
WARNING: FOLDS 5-10 (INC.) ONLY HAVE 35 TRUE PREDICTIONS - IGNORE PREDICTION 36 
28.827422863126074, 3.6839842141955277, 0.7255148384430647
40.248554077965856, 4.079870388223905, 0.682660396676321
6.771625526128649, 1.8824478387069368, 0.8812166608845768
28.56889718474135, 3.5987662403888163, 0.7982241645092318
18.858903079271233, 2.9725827128418585, 0.7897241285870101
13.932056050374445, 2.5830093485859056, 0.8336310540302472
6.832742293957747, 1.8076629801163393, 0.8383892950216397
11.689944300931732, 2.5604716666322425, 0.8063763335303613
11.317214962979898, 2.411536439743717, 0.8661813989936823
12.649063968637401, 2.5238192972531803, 0.8113251018913048
WARNING: FOLDS 5-10 (INC.) ONLY HAVE 35 TRUE PREDICTIONS - IGNORE PREDICTION 36 
16.022528249909058, 2.7515413039224517, 0.8127680721787608
20.888474069791982, 3.2414866655961205, 0.7612827287600467
6.7407638344541665, 1.8765824155900093, 0.9037782129612087
24.367518204549715, 3.3047764884865054, 0.7267235840549986
13.818542587140014, 2.625479390120806, 0.8486620863773688
42.35167205324093, 3.9603460590261843, 0.6701235029876627
8.773738280693568, 2.399018728411067, 0.8139159846447152
9.782761529923542, 2.2946904834409194, 0.8485282694696752
8.539914200500188, 1.8504619637008473, 0.8719191555772415
27.97147244146395, 3.89189885785375, 0.7530384992606423
WARNING: FOLDS 5-10 (INC.) ONLY HAVE 35 TRUE PREDICTIONS - IGNORE PREDICTION 36 
12.820239194006952, 2.560640855174738, 0.8005700218762467
13.252298929840585, 2.757330138414229, 0.8648573603091737
16.250371574190062, 2.750533003104937, 0.8664796734206142
29.111579646052657, 3.723072719125289, 0.7559055837880372
19.45896105503167, 3.0508480863408334, 0.781604374903444
38.556085408704206, 3.2678064210474864, 0.6642374230466257
11.421192306739558, 2.7441475170185723, 0.7821772408164047
10.771747414688463, 2.2616947520236117, 0.8778174708808311
11.729859977574534, 2.3809557944596724, 0.7707065360882099
15.720277064779856, 2.813745750875477, 0.7489953289950798
WARNING: FOLDS 5-10 (INC.) ONLY HAVE 35 TRUE PREDICTIONS - IGNORE PREDICTION 36 
22.091797255835047, 3.456074188177011, 0.826953718887932
7.433652428346006, 2.1744636759204323, 0.8649124821288828
17.89553905226165, 2.8604180243791797, 0.7847740358243388
7.934290382185935, 2.0358955998723123, 0.8443042004403252
7.998662411157168, 2.104985465316404, 0.8628734077196774
36.040876997427894, 3.409495523666633, 0.6090739813020872
18.572542910748517, 3.2078891274806365, 0.7953528816213364
20.81389534878456, 2.8806694678829703, 0.7693404664402644
33.05764771623876, 3.811686818076438, 0.7709916835968732
9.179650219695633, 2.228789263644988, 0.8372988817298853
WARNING: FOLDS 5-10 (INC.) ONLY HAVE 35 TRUE PREDICTIONS - IGNORE PREDICTION 36 
15.265836660337218, 2.726340361342486, 0.8295138756999425
8.518617113529622, 2.0721550288652875, 0.8938892774420693
9.746110504674496, 2.4920666606815947, 0.8132262004361251
19.401841786741706, 3.081071631374231, 0.8043893324293399
16.810606155435618, 2.876488233375921, 0.836048718217789
40.7921817402424, 4.045250326807869, 0.6199515270655278
8.656773703799042, 2.0880826096072624, 0.8879181761754738
12.474790536196663, 2.807609715412337, 0.8528320625054564
35.58697705589371, 3.507921357893032, 0.675924930295985
11.664383606217623, 2.438291193525496, 0.8135640843887356
